obs,size,pov,unemp,police,crime,budget
78,33.0142,35.2069,18.8774,22.7136,112.048,-3.59931
79,38.7406,26.4352,23.6411,32.0958,61.766,-2.68642
80,36.7549,33.1583,17.7861,35.5245,155.873,-2.45126
81,41.0608,24.0676,20.1844,43.4355,109.497,-2.41219
82,40.2683,14.6529,14.3612,42.3389,46.824,-0.17038
83,39.5064,16.0704,12.0116,25.7785,63.967,-0.31283
84,30.2944,15.6963,15.0679,27.0723,84.276,-1.6545
85,44.9531,23.0106,14.654,36.0848,129.733,-2.95908
86,36.4793,25.8584,18.648,50.5135,150.775,-3.63866
87,41.6893,21.7678,14.0564,42.7554,72.107,-1.96616
88,33.6555,21.5768,13.8772,39.9034,29.589,-1.72464
89,32.5101,33.4209,13.9325,40.34,176.06,-3.36798
90,31.0588,22.6514,23.3327,39.7929,90.698,-2.66724
91,43.3761,35.2541,24.3932,45.4662,171.017,-5.15458
92,34.2351,12.6221,12.2641,33.5072,106.063,0.2951
93,30.2287,16.6528,13.2457,36.1588,59.13,0.24627
94,31.0855,22.7968,12.5753,30.0563,101.5,-2.55837
95,32.2111,32.5508,22.8145,56.5895,137.528,-2.069
96,32.8714,24.4552,13.9617,26.3837,102.248,-0.53819
97,36.5128,13.0143,14.8419,21.7481,122.834,-1.52446
98,39.9546,23.2083,15.4879,30.876,181.287,-2.87134
99,37.1497,16.6785,12.4135,25.4189,54.132,0.27628
100,32.7805,25.6755,15.345,29.8367,163.68,-1.87656
101,43.9928,26.3769,15.2005,37.1491,205.975,-3.99423
102,31.4961,15.7234,14.2523,47.6283,36.686,1.66844
103,36.4594,28.6148,18.7981,29.963,189.392,-2.6885
104,31.2546,19.106,16.8152,21.957,108.524,-0.95607
105,44.5137,21.9166,23.8567,21.8889,111.515,-0.06798
106,36.7085,19.773,14.8367,18.6517,152.473,0.57829
107,33.9504,21.9915,13.7198,14.4402,86.577,-1.59559
108,39.8331,23.3964,16.5813,37.5134,28.324,-2.92173
109,30.4052,21.4135,23.3169,22.9285,124.098,0.1535
110,32.0477,22.8102,12.427,41.384,107.184,0.03468
111,41.9071,24.4748,22.1828,37.2928,165.887,-1.6978
112,43.0012,14.611,18.9169,30.2175,163.862,-0.03546
113,36.8309,18.1589,13.8898,42.8224,96.778,-1.91623
114,36.4838,20.7004,15.9434,26.9749,149.238,-0.88766
115,43.1266,21.9993,13.433,41.6028,199.059,-1.99423
116,32.8302,16.6832,14.2955,24.2032,220.085,0.07188
117,46.3925,24.2484,6.6617,31.219,134.862,-2.92698
118,78.2052,29.2956,10.5938,74.3026,200.43,-6.48379
119,49.6656,17.3695,7.7501,43.9681,135.158,-4.15076
120,50.5813,15.9268,11.1031,30.9118,127.612,0.13557
121,60.5278,25.699,6.7571,55.2322,157.416,-5.90674
122,63.1264,16.9431,10.1311,47.0843,147.766,-3.47324
123,54.6992,25.6711,8.5824,61.5425,148.623,0.43099
124,48.4596,18.6426,10.419,39.4464,81.113,1.01468
125,72.6357,22.5537,9.4202,43.678,130.956,-3.2029
126,53.6951,29.7355,11.6453,48.3913,191.6,-4.62785
127,46.7805,21.3369,6.3972,43.4051,88.919,-1.2522
128,50.7038,22.4665,12.3595,35.7175,118.671,-2.54676
129,50.6934,23.1601,13.9041,36.7865,163.123,-2.23619
130,55.7699,21.0338,19.1695,44.2197,132.954,-3.3273
131,58.0886,24.2568,16.1232,57.6939,97.404,-0.69244
132,54.1672,28.4475,19.5972,65.3773,79.756,-3.94185
133,76.1132,24.0863,20.7909,67.0414,160.89,-4.39073
134,55.7849,28.9265,18.9791,46.671,216.933,-4.39479
135,56.349,27.5185,17.3435,46.7943,149.455,-5.23398
136,73.2037,23.7659,17.8258,62.1375,169.29,-4.74678
137,47.4472,15.7415,15.9577,36.0019,87.42,-0.33661
138,48.1714,21.0465,13.8841,49.536,171.662,-3.08403
139,58.7103,39.9295,18.9768,76.5688,202.951,-5.31903
140,56.0597,27.0564,16.0759,44.0043,137.512,-3.76839
141,76.4483,32.8136,16.11,46.4252,183.842,-5.39638
142,57.1134,30.8623,23.0872,32.6315,133.275,-5.48212
143,45.3811,21.2663,15.0437,52.4289,104.639,-1.47666
144,71.6469,25.8759,15.1023,60.8676,167.527,-2.62199
145,48.5305,26.1196,16.1367,41.7397,166.899,-4.96424
146,59.8838,26.0438,18.6783,46.0653,135.937,-4.2364
147,47.9225,25.788,14.4674,24.1742,240.668,-3.31868
148,61.4431,27.9948,18.6844,43.3238,221.881,-4.79355
149,51.5343,28.9636,21.4403,36.4066,104.569,-2.86997
150,57.8822,19.8428,14.8073,43.3681,117.609,-1.95187
151,47.123,21.6818,17.4948,41.7992,127.563,-2.56953
152,53.9671,19.7728,14.6291,45.2619,152.943,-1.87934
153,70.9969,22.2493,13.7225,59.8829,195.664,-3.8854
154,48.6056,16.495,14.2664,19.6521,130.674,-0.13868
155,47.7614,30.9966,16.8047,35.7753,182.04,-1.33153
156,48.4186,17.2676,17.4165,30.7595,102.818,-3.16134
157,87.5348,21.0066,14.9411,68.0808,45.847,-1.84768
158,62.486,25.3901,20.0102,47.7069,220.579,-3.45679
159,46.8123,24.2108,14.0485,38.8783,166.46,0.27756
160,62.107,27.2109,19.6177,42.1733,210.824,-3.78449
161,51.5721,25.1867,20.0748,39.2365,154.511,-1.37053
162,47.8555,28.2092,17.616,20.9887,130.489,-2.51239
163,55.5849,22.0295,17.7485,32.8658,155.752,-2.64995
164,54.4991,33.1735,23.7626,63.5141,181.349,-2.56191
165,45.1469,23.3278,13.9095,40.4722,181.494,-3.09567
166,54.5274,22.2276,14.9941,40.1512,103.972,-1.7446
167,51.7204,19.5897,16.2264,42.0999,61.234,-1.95987
168,45.0965,18.714,21.872,33.6976,124.108,-0.08065
169,62.8644,22.2332,19.0574,55.7838,119.581,-2.39072
170,51.5852,21.5359,16.2638,49.4727,104.772,-2.40937
171,53.8287,21.3936,15.9601,60.5465,100.641,-3.01833
172,58.0155,24.8151,13.3722,51.0848,113.495,-2.83922
173,47.59,21.6712,12.7958,48.2819,157.835,-1.39485
174,50.899,21.6798,18.7588,43.9289,161.202,-1.37109
